date,close,SMA50,SMA100,Signal,Entry/Exit,Position,Entry/Exit Position,Portfolio Holdings,Portfolio Cash,Portfolio Total,Portfolio Daily Returns,Portfolio Cumulative Returns
9/22/2014,101.06,,,0,,0,,,,,,
9/23/2014,102.64,,,0,0,0,0,0,100000,100000,,
9/24/2014,101.75,,,0,0,0,0,0,100000,100000,0,0
9/25/2014,97.87,,,0,0,0,0,0,100000,100000,0,0
9/26/2014,100.75,,,0,0,0,0,0,100000,100000,0,0
9/29/2014,100.11,,,0,0,0,0,0,100000,100000,0,0
9/30/2014,100.75,,,0,0,0,0,0,100000,100000,0,0
10/1/2014,99.18,,,0,0,0,0,0,100000,100000,0,0
10/2/2014,99.9,,,0,0,0,0,0,100000,100000,0,0
10/3/2014,99.62,,,0,0,0,0,0,100000,100000,0,0
10/6/2014,99.62,,,0,0,0,0,0,100000,100000,0,0
10/7/2014,98.75,,,0,0,0,0,0,100000,100000,0,0
10/8/2014,100.8,,,0,0,0,0,0,100000,100000,0,0
10/9/2014,101.02,,,0,0,0,0,0,100000,100000,0,0
10/10/2014,100.73,,,0,0,0,0,0,100000,100000,0,0
10/13/2014,99.81,,,0,0,0,0,0,100000,100000,0,0
10/14/2014,98.75,,,0,0,0,0,0,100000,100000,0,0
10/15/2014,97.54,,,0,0,0,0,0,100000,100000,0,0
10/16/2014,96.26,,,0,0,0,0,0,100000,100000,0,0
10/17/2014,97.67,,,0,0,0,0,0,100000,100000,0,0
10/20/2014,99.76,,,0,0,0,0,0,100000,100000,0,0
10/21/2014,102.47,,,0,0,0,0,0,100000,100000,0,0
10/22/2014,102.99,,,0,0,0,0,0,100000,100000,0,0
10/23/2014,104.83,,,0,0,0,0,0,100000,100000,0,0
10/24/2014,105.22,,,0,0,0,0,0,100000,100000,0,0
10/27/2014,105.11,,,0,0,0,0,0,100000,100000,0,0
10/28/2014,106.74,,,0,0,0,0,0,100000,100000,0,0
10/29/2014,107.34,,,0,0,0,0,0,100000,100000,0,0
10/30/2014,106.98,,,0,0,0,0,0,100000,100000,0,0
10/31/2014,108,,,0,0,0,0,0,100000,100000,0,0
11/3/2014,109.4,,,0,0,0,0,0,100000,100000,0,0
11/4/2014,108.6,,,0,0,0,0,0,100000,100000,0,0
11/5/2014,108.86,,,0,0,0,0,0,100000,100000,0,0
11/6/2014,108.7,,,0,0,0,0,0,100000,100000,0,0
11/7/2014,109.01,,,0,0,0,0,0,100000,100000,0,0
11/10/2014,108.83,,,0,0,0,0,0,100000,100000,0,0
11/11/2014,109.7,,,0,0,0,0,0,100000,100000,0,0
11/12/2014,111.25,,,0,0,0,0,0,100000,100000,0,0
11/13/2014,112.82,,,0,0,0,0,0,100000,100000,0,0
11/14/2014,114.18,,,0,0,0,0,0,100000,100000,0,0
11/17/2014,113.99,,,0,0,0,0,0,100000,100000,0,0
11/18/2014,115.47,,,0,0,0,0,0,100000,100000,0,0
11/19/2014,114.67,,,0,0,0,0,0,100000,100000,0,0
11/20/2014,116.31,,,0,0,0,0,0,100000,100000,0,0
11/21/2014,116.47,,,0,0,0,0,0,100000,100000,0,0
11/24/2014,118.625,,,0,0,0,0,0,100000,100000,0,0
11/25/2014,117.6,,,0,0,0,0,0,100000,100000,0,0
11/26/2014,119,,,0,0,0,0,0,100000,100000,0,0
11/28/2014,118.93,,,0,0,0,0,0,100000,100000,0,0
12/1/2014,115.07,106.2301,,0,0,0,0,0,100000,100000,0,0
12/2/2014,114.63,106.5015,,0,0,0,0,0,100000,100000,0,0
12/3/2014,115.93,106.7673,,0,0,0,0,0,100000,100000,0,0
12/4/2014,115.49,107.0421,,0,0,0,0,0,100000,100000,0,0
12/5/2014,115,107.3847,,0,0,0,0,0,100000,100000,0,0
12/8/2014,112.4,107.6177,,0,0,0,0,0,100000,100000,0,0
12/9/2014,114.12,107.8979,,0,0,0,0,0,100000,100000,0,0
12/10/2014,111.95,108.1219,,0,0,0,0,0,100000,100000,0,0
12/11/2014,111.62,108.3707,,0,0,0,0,0,100000,100000,0,0
12/12/2014,109.73,108.5673,,0,0,0,0,0,100000,100000,0,0
12/15/2014,108.225,108.7394,,0,0,0,0,0,100000,100000,0,0
12/16/2014,106.745,108.8819,,0,0,0,0,0,100000,100000,0,0
12/17/2014,109.41,109.0951,,0,0,0,0,0,100000,100000,0,0
12/18/2014,112.65,109.3321,,0,0,0,0,0,100000,100000,0,0
12/19/2014,111.78,109.5473,,0,0,0,0,0,100000,100000,0,0
12/22/2014,112.94,109.7915,,0,0,0,0,0,100000,100000,0,0
