Game,Date / Box Score,Opponent,Score,Decision,Record
1,03-28-2019,at Texas Rangers,12-4,W,1-0
2,03-30-2019,at Texas Rangers,6-8,L,1-1
3,03-31-2019,at Texas Rangers,10-11,L,1-2
4,04-01-2019,at Atlanta Braves,0-8,L,1-3
5,04-03-2019,at Atlanta Braves,4-6,L,1-4
6,04-04-2019,at Atlanta Braves,4-9,L,1-5
7,04-05-2019,at Milwaukee Brewers,10-13,L,1-6
8,04-06-2019,at Milwaukee Brewers,14-8,W,2-6
9,04-07-2019,at Milwaukee Brewers,2-4,L,2-7
10,04-08-2019,vs Pittsburgh Pirates,10-0,W,3-7
11,04-10-2019,vs Pittsburgh Pirates,2-5,L,3-8
12,04-11-2019,vs Pittsburgh Pirates,2-0,W,4-8
13,04-12-2019,vs Los Angeles Angels,5-1,W,5-8
14,04-13-2019,vs Los Angeles Angels,5-6,L,5-9
15,04-15-2019,at Miami Marlins,7-2,W,6-9
16,04-16-2019,at Miami Marlins,4-0,W,7-9
17,04-17-2019,at Miami Marlins,6-0,W,8-9
18,04-19-2019,vs Arizona Diamondbacks,5-1,W,9-9
19,04-20-2019,vs Arizona Diamondbacks,0-6,L,9-10
20,04-21-2019,vs Arizona Diamondbacks,2-1,W,10-10
21,04-23-2019,vs Los Angeles Dodgers,7-2,W,11-10
22,04-24-2019,vs Los Angeles Dodgers,7-6,W,12-10
23,04-25-2019,vs Los Angeles Dodgers,1-2,L,12-11
24,04-26-2019,at Arizona Diamondbacks,3-8,L,12-12
25,04-27-2019,at Arizona Diamondbacks,9-1,W,13-12
26,04-28-2019,at Arizona Diamondbacks,6-5,W,14-12
27,04-30-2019,at Seattle Mariners,6-5,W,15-12
28,05-01-2019,at Seattle Mariners,11-0,W,16-12
29,05-03-2019,vs St. Louis Cardinals,4-0,W,17-12
30,05-04-2019,vs St. Louis Cardinals,6-5,W,18-12
31,05-05-2019,vs St. Louis Cardinals,13-5,W,19-12
32,05-06-2019,vs Miami Marlins,5-6,L,19-13
33,05-07-2019,vs Miami Marlins,5-2,W,20-13
34,05-08-2019,vs Miami Marlins,3-2,W,21-13
35,05-09-2019,vs Miami Marlins,4-1,W,22-13
36,05-10-2019,vs Milwaukee Brewers,0-7,L,22-14
37,05-11-2019,vs Milwaukee Brewers,2-1,W,23-14
38,05-12-2019,vs Milwaukee Brewers,4-1,W,24-14
39,05-14-2019,at Cincinnati Reds,3-1,W,25-14
40,05-15-2019,at Cincinnati Reds,5-6,L,25-15
41,05-16-2019,at Cincinnati Reds,2-4,L,25-16
42,05-17-2019,at Washington Nationals,14-6,W,26-16
43,05-18-2019,at Washington Nationals,2-5,L,26-17
44,05-19-2019,at Washington Nationals,6-5,W,27-17
45,05-20-2019,vs Philadelphia Phillies,4-5,L,27-18
46,05-21-2019,vs Philadelphia Phillies,3-2,W,28-18
47,05-22-2019,vs Philadelphia Phillies,8-4,W,29-18
48,05-23-2019,vs Philadelphia Phillies,7-9,L,29-19
49,05-24-2019,vs Cincinnati Reds,5-6,L,29-20
50,05-25-2019,vs Cincinnati Reds,8-6,W,30-20
51,05-26-2019,vs Cincinnati Reds,2-10,L,30-21
52,05-27-2019,at Houston Astros,5-6,L,30-22
53,05-28-2019,at Houston Astros,6-9,L,30-23
54,05-29-2019,at Houston Astros,2-1,W,31-23
55,05-31-2019,at St. Louis Cardinals,1-2,L,31-24
56,06-01-2019,at St. Louis Cardinals,4-7,L,31-25
57,06-02-2019,at St. Louis Cardinals,1-2,L,31-26
58,06-03-2019,vs Los Angeles Angels,8-1,W,32-26
59,06-04-2019,vs Colorado Rockies,6-3,W,33-26
60,06-05-2019,vs Colorado Rockies,9-8,W,34-26
61,06-06-2019,vs Colorado Rockies,1-3,L,34-27
62,06-07-2019,vs St. Louis Cardinals,3-1,W,35-27
63,06-08-2019,vs St. Louis Cardinals,9-4,W,36-27
64,06-09-2019,vs St. Louis Cardinals,5-1,W,37-27
65,06-10-2019,at Colorado Rockies,5-6,L,37-28
66,06-11-2019,at Colorado Rockies,3-10,L,37-29
67,06-12-2019,at Colorado Rockies,10-1,W,38-29
68,06-13-2019,at Los Angeles Dodgers,3-7,L,38-30
69,06-14-2019,at Los Angeles Dodgers,3-5,L,38-31
70,06-15-2019,at Los Angeles Dodgers,2-1,W,39-31
71,06-16-2019,at Los Angeles Dodgers,2-3,L,39-32
72,06-18-2019,vs Chicago White Sox,1-3,L,39-33
73,06-19-2019,vs Chicago White Sox,7-3,W,40-33
74,06-20-2019,vs New York Mets,7-4,W,41-33
75,06-21-2019,vs New York Mets,4-5,L,41-34
76,06-22-2019,vs New York Mets,2-10,L,41-35
77,06-23-2019,vs New York Mets,5-3,W,42-35
78,06-24-2019,vs Atlanta Braves,8-3,W,43-35
79,06-25-2019,vs Atlanta Braves,2-3,L,43-36
80,06-26-2019,vs Atlanta Braves,3-5,L,43-37
81,06-27-2019,vs Atlanta Braves,9-7,W,44-37
82,06-28-2019,at Cincinnati Reds,3-6,L,44-38
83,06-29-2019,at Cincinnati Reds,6-0,W,45-38
84,06-30-2019,at Cincinnati Reds,6-8,L,45-39
85,07-01-2019,at Pittsburgh Pirates,5-18,L,45-40
86,07-02-2019,at Pittsburgh Pirates,1-5,L,45-41
87,07-03-2019,at Pittsburgh Pirates,5-6,L,45-42
88,07-04-2019,at Pittsburgh Pirates,11-3,W,46-42
89,07-06-2019,at Chicago White Sox,6-3,W,47-42
90,07-07-2019,at Chicago White Sox,1-3,L,47-43
91,07-12-2019,vs Pittsburgh Pirates,4-3,W,48-43
92,07-13-2019,vs Pittsburgh Pirates,10-4,W,49-43
93,07-14-2019,vs Pittsburgh Pirates,8-3,W,50-43
94,07-15-2019,vs Cincinnati Reds,3-6,L,50-44
95,07-16-2019,vs Cincinnati Reds,4-3,W,51-44
96,07-17-2019,vs Cincinnati Reds,5-2,W,52-44
