Date,# Divvy Riders,Avg. Retail Gas Price,Avg. Futures Crude Oil Price,Avg. Temp.,# Cubs Games,# Sox Games,# Divvy Google Searches
2018-12-31,27749,2.24,47.96,34,0,0,10
2019-01-07,30930,2.24,51.59,30,0,0,9
2019-01-14,28005,2.27,53.8,26,0,0,21
2019-01-21,13994,2.3,53.69,12,0,0,12
2019-01-28,8871,2.26,55.26,10,0,0,12
2019-02-04,26529,2.35,52.72,27,0,0,0
2019-02-11,22820,2.41,55.59,26,0,0,8
2019-02-18,23143,2.48,57.26,30,0,0,4
2019-02-25,26498,2.61,55.8,21,0,0,8
2019-03-04,24766,2.58,56.07,22,0,0,4
2019-03-11,41588,2.66,58.52,39,0,0,8
2019-03-18,43978,2.8,59.04,40,0,0,28
2019-03-25,46198,2.88,60.14,41,0,0,17
2019-04-01,55500,3.0,63.08,46,0,3,37
2019-04-08,59844,3.1,63.89,47,5,3,24
2019-04-15,67656,3.09,64.0,51,3,3,29
2019-04-22,72366,3.18,63.3,53,3,2,49
2019-04-29,62856,3.22,61.94,48,3,7,28
2019-05-06,62819,3.27,61.66,51,7,0,28
2019-05-13,87142,3.34,62.76,58,0,6,40
2019-05-20,96233,3.26,58.63,63,7,0,60
2019-05-27,95817,3.26,53.5,65,0,7,74
2019-06-03,111641,3.26,53.99,66,7,0,73
2019-06-10,99354,3.09,52.51,64,0,6,70
2019-06-17,108973,2.97,57.43,65,6,0,41
2019-06-24,127962,3.05,58.47,76,4,3,59
2019-07-01,118405,3.16,57.51,78,0,5,78
2019-07-08,131931,3.19,60.21,77,3,0,59
2019-07-15,109970,3.38,55.63,80,6,0,55
2019-07-22,140344,3.21,56.2,74,0,7,43
2019-07-29,142356,3.19,55.66,73,3,3,100
2019-08-05,143892,3.08,54.5,76,3,3,71
2019-08-12,119867,2.9,54.87,73,0,3,61
2019-08-19,135671,2.89,54.17,71,6,4,89
2019-08-26,121814,2.92,55.1,69,3,3,36
2019-09-02,117199,2.88,56.52,67,2,3,47
2019-09-09,121613,2.79,54.85,73,3,3,64
2019-09-16,116698,2.87,58.09,72,7,0,33
2019-09-23,102702,2.99,55.91,65,0,6,41
2019-09-30,100628,2.86,52.81,63,0,0,42
2019-10-07,95065,2.93,54.7,55,0,0,43
2019-10-14,92071,2.94,53.78,49,0,0,27
2019-10-21,72827,2.84,56.66,48,0,0,24
2019-10-28,48130,2.79,56.2,38,0,0,17
2019-11-04,54973,2.73,57.24,36,0,0,12
2019-11-11,29227,2.74,57.72,25,0,0,21
2019-11-18,48260,2.8,57.77,38,0,0,21
2019-11-25,27924,2.74,55.17,39,0,0,33
2019-12-02,46994,2.68,59.2,35,0,0,26
2019-12-09,37467,2.76,60.07,30,0,0,4
2019-12-16,35773,2.73,60.44,29,0,0,4
2019-12-23,27474,2.73,61.72,44,0,0,5
2019-12-30,5497,2.73,63.05,32,0,0,4
