Category: All categories

Week,divvy: (Chicago IL)
2018-12-30,10
2019-01-06,9
2019-01-13,21
2019-01-20,12
2019-01-27,12
2019-02-03,0
2019-02-10,8
2019-02-17,4
2019-02-24,8
2019-03-03,4
2019-03-10,8
2019-03-17,28
2019-03-24,17
2019-03-31,37
2019-04-07,24
2019-04-14,29
2019-04-21,49
2019-04-28,28
2019-05-05,28
2019-05-12,40
2019-05-19,60
2019-05-26,74
2019-06-02,73
2019-06-09,70
2019-06-16,41
2019-06-23,59
2019-06-30,78
2019-07-07,59
2019-07-14,55
2019-07-21,43
2019-07-28,100
2019-08-04,71
2019-08-11,61
2019-08-18,89
2019-08-25,36
2019-09-01,47
2019-09-08,64
2019-09-15,33
2019-09-22,41
2019-09-29,42
2019-10-06,43
2019-10-13,27
2019-10-20,24
2019-10-27,17
2019-11-03,12
2019-11-10,21
2019-11-17,21
2019-11-24,33
2019-12-01,26
2019-12-08,4
2019-12-15,4
2019-12-22,5
2019-12-29,4
